Artist,Track,Stream
Bruno Mars,Smokin Out The Window,331055439.0
Bruno Mars,Treasure,744550173.0
Bruno Mars,Talking to the Moon,934528321.0
Bruno Mars,Grenade,935028274.0
Bruno Mars,Leave The Door Open,1006100004.0
Bruno Mars,24K Magic,1188857393.0
Bruno Mars,Locked out of Heaven,1291353645.0
Bruno Mars,When I Was Your Man,1439566947.0
Bruno Mars,Just the Way You Are,1464356586.0
Bruno Mars,That's What I Like,1562466168.0
