Artist,Track,Stream
The Weeknd,Creepin' (with The Weeknd & 21 Savage),279832635.0
The Weeknd,I Was Never There,495979508.0
The Weeknd,After Hours,539593993.0
The Weeknd,Lost in the Fire (feat. The Weeknd),567689900.0
The Weeknd,Die For You,1198565512.0
The Weeknd,Call Out My Name,1252112924.0
The Weeknd,Save Your Tears,1368121562.0
The Weeknd,The Hills,1762745054.0
The Weeknd,Starboy,2180812000.0
The Weeknd,Blinding Lights,3386520288.0
