Artist,Track,Views
Katy Perry,When I’m Gone (with Katy Perry),29668486.0
Katy Perry,Harleys In Hawaii,108154748.0
Katy Perry,Unconditionally,652271151.0
Katy Perry,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",673497801.0
Katy Perry,California Gurls,674401032.0
Katy Perry,The One That Got Away,953056719.0
Katy Perry,Firework,1406704456.0
Katy Perry,Last Friday Night (T.G.I.F.),1454602433.0
Katy Perry,Dark Horse,3442526730.0
Katy Perry,Roar,3725748519.0
