Artist,Track,Views
Coldplay,Sparks,73201019.0
Coldplay,My Universe,254655970.0
Coldplay,Fix You,566239229.0
Coldplay,A Sky Full of Stars,786404613.0
Coldplay,Viva La Vida,789581468.0
Coldplay,Yellow,832532409.0
Coldplay,The Scientist,1082588109.0
Coldplay,Paradise,1665814269.0
Coldplay,Hymn for the Weekend,1828242112.0
Coldplay,Something Just Like This,2118018686.0
