Artist,Track,Views
Justin Bieber,Love Yourself,273175.0
Justin Bieber,Off My Face,30385285.0
Justin Bieber,Stuck with U (with Justin Bieber),209132864.0
Justin Bieber,Ghost,224579722.0
Justin Bieber,Mistletoe,474786201.0
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),618919778.0
Justin Bieber,STAY (with Justin Bieber),681205578.0
Justin Bieber,What Do You Mean?,2218679460.0
Justin Bieber,Baby,2905792670.0
Justin Bieber,Sorry,3627305503.0
