Artist,Track,Views
Bruno Mars,Talking to the Moon,9077697.0
Bruno Mars,Smokin Out The Window,151531073.0
Bruno Mars,Leave The Door Open,637665698.0
Bruno Mars,Treasure,675771536.0
Bruno Mars,Locked out of Heaven,953668445.0
Bruno Mars,Grenade,1120763133.0
Bruno Mars,When I Was Your Man,1237507463.0
Bruno Mars,24K Magic,1560261356.0
Bruno Mars,Just the Way You Are,1792439997.0
Bruno Mars,That's What I Like,2102232829.0
